Machine_ID,Variable,Model,ARIMA_Order,Seasonal_Order,AIC,BIC,MSE,n_obs
47,Quality_Control_Defect_Rate_%,ARIMA,"(3, 2, 2)",,78.18495899288303,111.78737299988542,24349516730587.016,2001
47,Quality_Control_Defect_Rate_%,SARIMA,"(3, 2, 2)","(1, 1, 1, 24)",9911.70181500329,9956.29828287691,11.254663902522577,2001
47,Quality_Control_Defect_Rate_%,SARIMA,"(3, 2, 2)","(1, 1, 1, 12)",9889.319362743025,9934.013791024325,9.868773905328323,2001
47,Quality_Control_Defect_Rate_%,SARIMA,"(3, 2, 2)","(1, 1, 1, 7)",9888.794128698712,9933.529022417832,9.18337313583906,2001
47,Error_Rate_%,ARIMA,"(2, 0, 2)",,11561.102255544747,11594.71066955225,18.799057611201064,2001
47,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",11362.92226765348,11401.951360214383,22.25304797045936,2001
47,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 12)",11475.049142485372,11514.163863025326,19.839231852981055,2001
47,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 7)",11499.227218161655,11538.377310176573,19.64686730903148,2001
50,Production_Speed_units_per_hr,ARIMA,"(2, 1, 3)",,24023.013886217446,24056.34617788289,16873.331654338454,1912
50,Production_Speed_units_per_hr,SARIMA,"(2, 1, 3)","(1, 1, 1, 24)",23477.386763044207,23521.60911494598,18433.143351885446,1912
50,Production_Speed_units_per_hr,SARIMA,"(2, 1, 3)","(1, 1, 1, 12)",24127.572077037792,24171.89704926705,17953.929119094457,1912
50,Production_Speed_units_per_hr,SARIMA,"(2, 1, 3)","(1, 1, 1, 7)",24360.485518938676,24404.852864148343,18100.79418089016,1912
50,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,720.5652470064447,731.6770571936673,0.0851701338608514,1912
50,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",802.1915899464784,818.7814200582832,0.0937625652093552,1912
50,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",763.4257295863566,780.0539602224623,0.0890765872066431,1912
50,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",752.6058938071776,769.2499807169827,0.0886742892976421,1912
50,Efficiency_Status,ARIMA,"(0, 0, 0)",,2309.170795442553,2320.2826056297754,0.1954904391809185,1912
50,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",2341.6780363571334,2358.2678664689383,0.2177182411576327,1912
50,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",2335.3292219671675,2351.9574526032734,0.206719482808971,1912
50,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",2331.053116969098,2347.697203878903,0.2018744703382362,1912
50,Quality_Control_Defect_Rate_%,ARIMA,"(2, 0, 3)",,9415.186801392692,9454.078137047973,7.997022106314924,1912
50,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 3)","(1, 1, 1, 24)",9252.789477619504,9297.01613175316,9.30155319088161,1912
50,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 3)","(1, 1, 1, 12)",9326.673853001728,9371.00307264282,9.07525816597399,1912
50,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 3)","(1, 1, 1, 7)",9354.407012962549,9398.778583152516,8.256621720011017,1912
50,Error_Rate_%,ARIMA,"(0, 1, 1)",,11002.369858087755,11013.480621976238,18.51982291646908,1912
50,Error_Rate_%,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",10818.529382480949,10840.644859507518,20.081952760182645,1912
50,Error_Rate_%,SARIMA,"(0, 1, 1)","(1, 1, 1, 12)",10920.32623693038,10942.49296932991,19.413017675698637,1912
50,Error_Rate_%,SARIMA,"(0, 1, 1)","(1, 1, 1, 7)",10954.264978019037,10976.452874489103,19.13929819150072,1912
48,Production_Speed_units_per_hr,ARIMA,"(3, 2, 2)",,12.0,45.771105759450336,92597.17504367382,2058
48,Production_Speed_units_per_hr,SARIMA,"(3, 2, 2)","(1, 1, 1, 24)",26283.201968952017,26328.02916366994,20197.088413668214,2058
48,Production_Speed_units_per_hr,SARIMA,"(3, 2, 2)","(1, 1, 1, 12)",26608.80438572105,26653.72677243966,20489.373425958383,2058
48,Production_Speed_units_per_hr,SARIMA,"(3, 2, 2)","(1, 1, 1, 7)",26428.015181522365,26472.97689968696,18851.03013537754,2058
48,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,751.2795927275838,762.5385725603718,0.0841825646820439,2058
48,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",837.701527884951,854.5177049793958,0.0919254949798036,2058
48,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",796.0411334934944,812.8929369343795,0.0886073657606251,2058
48,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",788.2859396927402,805.152463477193,0.0869802541524375,2058
48,Efficiency_Status,ARIMA,"(2, 0, 3)",,2512.726220520605,2552.1326499353627,0.1971623861004,2058
48,Efficiency_Status,SARIMA,"(2, 0, 3)","(1, 1, 1, 24)",2574.897893386117,2619.7290771342923,0.249444050407501,2058
48,Efficiency_Status,SARIMA,"(2, 0, 3)","(1, 1, 1, 12)",2552.4110389483194,2597.337367524606,0.2117682335863443,2058
48,Efficiency_Status,SARIMA,"(2, 0, 3)","(1, 1, 1, 7)",2539.886454515603,2584.852095210309,0.2122403357409003,2058
48,Quality_Control_Defect_Rate_%,ARIMA,"(0, 0, 0)",,10286.28247848005,10297.54145831284,8.65704052259621,2058
48,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",10136.269684145916,10153.08586124036,9.372217579913798,2058
48,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",10210.299828341016,10227.1516317819,9.04701759197903,2058
48,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",10255.863467963352,10272.729991747805,8.896919588729256,2058
48,Error_Rate_%,ARIMA,"(2, 1, 3)",,11895.132106162257,11928.906129500172,18.91965468484937,2058
48,Error_Rate_%,SARIMA,"(2, 1, 3)","(1, 1, 1, 24)",11712.757414009022,11757.584608726947,20.554043648562583,2058
48,Error_Rate_%,SARIMA,"(2, 1, 3)","(1, 1, 1, 12)",11797.627820479662,11842.550207198268,20.08201022025182,2058
48,Error_Rate_%,SARIMA,"(2, 1, 3)","(1, 1, 1, 7)",11828.153226505145,11873.114944669738,19.69647554977475,2058
45,Production_Speed_units_per_hr,ARIMA,"(0, 1, 1)",,26158.14739106988,26169.426675645595,17034.24336898485,2080
45,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",25638.80372115533,25661.264914514635,18211.13479398701,2080
45,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 12)",25889.892068815883,25912.40029848396,17824.127135162795,2080
45,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 7)",25996.149426457,26018.67709250929,17406.82135447537,2080
45,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,775.3167094954063,786.596955840797,0.0848346063281558,2080
45,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",860.7452475658883,877.5940982506295,0.0919330739450938,2080
45,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",837.5745656388792,854.4586590196702,0.0891069251377963,2080
45,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",811.6339885443931,828.5326450605785,0.0876632440751701,2080
45,Efficiency_Status,ARIMA,"(0, 0, 0)",,2607.037907551773,2618.3181538971644,0.2046576830871507,2080
45,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",2652.411576443578,2669.260427128319,0.2331594017331235,2080
45,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",2638.646753007394,2655.530846388185,0.2166698019491252,2080
45,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",2631.902907572859,2648.8015640890444,0.2116551354344641,2080
45,Quality_Control_Defect_Rate_%,ARIMA,"(1, 0, 2)",,10216.281171209122,10244.4817870726,7.916804184853968,2080
45,Quality_Control_Defect_Rate_%,SARIMA,"(1, 0, 2)","(1, 1, 1, 24)",10060.70658548322,10094.398375522174,8.521547216451056,2080
45,Quality_Control_Defect_Rate_%,SARIMA,"(1, 0, 2)","(1, 1, 1, 12)",10138.787313003855,10172.549657505971,8.489996029872515,2080
45,Quality_Control_Defect_Rate_%,SARIMA,"(1, 0, 2)","(1, 1, 1, 7)",10182.887892781917,10216.679391860343,8.206037423588466,2080
45,Error_Rate_%,ARIMA,"(0, 0, 3)",,11999.976303833677,12028.176919697153,18.662863594227588,2080
45,Error_Rate_%,SARIMA,"(0, 0, 3)","(1, 1, 1, 24)",11787.618193987906,11821.307026176171,20.55304009672945,2080
45,Error_Rate_%,SARIMA,"(0, 0, 3)","(1, 1, 1, 12)",11897.60980822839,11931.369229466134,19.7380894519033,2080
45,Error_Rate_%,SARIMA,"(0, 0, 3)","(1, 1, 1, 7)",11934.627879474025,11968.416469461486,19.344019266478444,2080
41,Production_Speed_units_per_hr,ARIMA,"(3, 1, 3)",,25308.771906830312,25348.02009854885,16940.098820555086,2013
41,Production_Speed_units_per_hr,SARIMA,"(3, 1, 3)","(1, 1, 1, 24)",25167.497782031467,25217.724079801486,18734.275186759714,2013
41,Production_Speed_units_per_hr,SARIMA,"(3, 1, 3)","(1, 1, 1, 12)",25348.202925143574,25398.538757734183,18247.632943376782,2013
41,Production_Speed_units_per_hr,SARIMA,"(3, 1, 3)","(1, 1, 1, 7)",25605.52915058296,25655.910232137656,17818.45800116641,2013
41,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,739.6050896018664,750.819852453146,0.0843778966737319,2013
41,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",805.4962419285549,822.2444573952981,0.0929261379986039,2013
41,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",780.3795872643082,797.1642404259577,0.0891686333461851,2013
41,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",773.9579901937361,790.7576960713616,0.0874078849635447,2013
41,Efficiency_Status,ARIMA,"(2, 0, 3)",,2468.976588199722,2508.228258179201,0.1982395929589698,2013
41,Efficiency_Status,SARIMA,"(2, 0, 3)","(1, 1, 1, 24)",2516.756006343905,2561.405684953476,0.2249868065284563,2013
41,Efficiency_Status,SARIMA,"(2, 0, 3)","(1, 1, 1, 12)",2513.5262197266147,2558.273213271585,0.2242051863214166,2013
41,Efficiency_Status,SARIMA,"(2, 0, 3)","(1, 1, 1, 7)",2503.489724243398,2548.27691887799,0.2123762674470418,2013
41,Quality_Control_Defect_Rate_%,ARIMA,"(0, 0, 0)",,9955.624882935412,9966.839645786691,8.213683348758115,2013
41,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9806.528036955917,9823.276252422658,9.004117270151495,2013
41,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",9884.890378450536,9901.675031612183,8.709145758129003,2013
41,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",9908.848220314296,9925.64792619192,8.548641340671306,2013
41,Error_Rate_%,ARIMA,"(3, 0, 3)",,11620.06455370945,11664.923605114567,18.66534821304156,2013
41,Error_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 24)",11413.508735875694,11463.73962431146,20.823490413401174,2013
41,Error_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 12)",11511.635569088316,11561.975936826408,19.86853745354021,2013
41,Error_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 7)",11561.590230040772,11611.975824004689,19.394291412980333,2013
46,Production_Speed_units_per_hr,ARIMA,"(0, 1, 1)",,24112.3738751898,24123.48463907828,17631.595666083987,1912
46,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",23550.950701576206,23573.06617860277,19072.00936792178,1912
46,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 12)",23831.511491812285,23853.678224211813,18432.65687017664,1912
46,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 7)",23950.92141181609,23973.109308286155,18232.872784627256,1912
46,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,672.9371310954874,684.0489412827101,0.0830747436795253,1912
46,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",752.0423384588429,768.6321685706477,0.0917401592748126,1912
46,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",729.3280423039294,745.956272940035,0.0880950316822661,1912
46,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",705.0939371004454,721.7380240102505,0.0865034924099933,1912
46,Efficiency_Status,ARIMA,"(2, 0, 2)",,2286.494513524949,2319.829944086617,0.1923860319379405,1912
