Machine_ID,Model,RMSE,MAE,MAPE,SMAPE,WAPE,R2,loss,mae,val_loss,val_mae,learning_rate,model_file,Window
15,TCN,0.3402987524393608,0.2849907305919969,4.583980630185146,63.50278064320295,54.12712867835367,-0.4030864718774423,0.0270635206252336,0.1338702738285064,0.125321552157402,0.2968868911266327,0.00025,saved_models/model_TCN_machine_15.h5,20
16,LSTM,0.2947657843602411,0.2569507896227185,3.3074547529561884,56.21050545301873,48.42605036976605,-0.0016076236216597,0.0816687867045402,0.2455302476882934,0.0873839706182479,0.2570621073246002,0.00025,saved_models/model_LSTM_machine_16.h5,20
16,GRU,0.2958240081605748,0.2576778789498571,3.1974918238186048,56.7123295676867,48.56308074990628,-0.0088121749908063,0.0795301422476768,0.2424013167619705,0.0877681300044059,0.2577161192893982,6.25e-05,saved_models/model_GRU_machine_16.h5,20
16,TCN,0.3190193452763074,0.268247785169166,3.289165602699025,58.2777622062596,50.555130712980976,-0.1732147638801602,0.0305437557399272,0.1415677219629287,0.1117263287305831,0.2779961824417114,0.00025,saved_models/model_TCN_machine_16.h5,20
17,LSTM,0.274667096170232,0.2373096952603136,2.276793028620269,54.3092594240053,48.392651433288336,-0.0140250263981172,0.081546165049076,0.2461457401514053,0.0762792378664016,0.2396445125341415,0.00025,saved_models/model_LSTM_machine_17.h5,20
17,GRU,0.2756560833599981,0.2372531376730006,2.24827468166982,54.39001323921917,48.3811181008396,-0.0213405240175774,0.0805374607443809,0.2441105991601944,0.0774809196591377,0.2408142685890197,0.00025,saved_models/model_GRU_machine_17.h5,20
17,TCN,0.3174400685118473,0.2711912852147069,2.3296356984691315,60.32204309088981,55.30185070081088,-0.3544372516663636,0.0203919056802988,0.1142824292182922,0.1145514473319053,0.2840475738048553,0.00025,saved_models/model_TCN_machine_17.h5,20
18,LSTM,0.2943891669755014,0.2529592906227211,2.320410531560569,57.63826618890737,49.26159395009524,-0.0166669487886179,0.0831938683986663,0.2490239143371582,0.0876949578523635,0.252784252166748,0.00025,saved_models/model_LSTM_machine_18.h5,20
18,GRU,0.2936400285811129,0.2517341016914913,2.2751022153155445,57.430357767738926,49.0229991963947,-0.0114992641708442,0.082581803202629,0.2481328696012497,0.0880162566900253,0.253569483757019,0.00025,saved_models/model_GRU_machine_18.h5,20
18,TCN,0.3122925648979898,0.2623601581115478,2.524148498606108,58.79323051617986,51.09233009690049,-0.1440851407192311,0.0423449948430061,0.1692159920930862,0.1164899319410324,0.2833022177219391,0.00025,saved_models/model_TCN_machine_18.h5,20
19,LSTM,0.2954315872238978,0.2559824764615516,19.778761294551856,58.69012000537762,51.16113026511469,-0.0043156263520458,0.079624094069004,0.242057666182518,0.0879537388682365,0.2582577764987945,0.00025,saved_models/model_LSTM_machine_19.h5,20
19,GRU,0.2979049676528368,0.2596058762956292,19.60877260273244,59.18114212125936,51.88530964440781,-0.0212024664155907,0.0777949392795562,0.2389292120933532,0.0890042409300804,0.2598797082901001,0.000125,saved_models/model_GRU_machine_19.h5,20
