Machine_ID,Model,RMSE,MAE,MAPE,SMAPE,WAPE,R2,loss,mae,val_loss,val_mae,learning_rate,model_file
11,LSTM,0.297546010044399,0.2587754576257684,5.599792400895776,60.59074213786501,52.33663709555303,0.009366211436970584,0.08324524015188217,0.2488568127155304,0.09027871489524841,0.26133015751838684,0.00025,saved_models/model_LSTM_machine_11.h5
11,GRU,0.2993452221384888,0.2601427836913223,5.4842527155135326,61.11464787790916,52.61317509780699,-0.0026504115628043223,0.08103326708078384,0.2450360357761383,0.09073349833488464,0.2619488835334778,0.00025,saved_models/model_GRU_machine_11.h5
11,TCN,0.3258090499416517,0.27369502451063166,4.791025570018586,63.39217252139381,55.35407918546381,-0.18776674522915227,0.011341900564730167,0.08431831002235413,0.12619486451148987,0.29433414340019226,0.00025,saved_models/model_TCN_machine_11.h5
12,LSTM,0.3070349895124882,0.2692642109614202,6.041646764379426,62.803173593029804,53.82928644263536,-0.01077072290776071,0.08467510342597961,0.25180554389953613,0.09508049488067627,0.2701001763343811,6.25e-05,saved_models/model_LSTM_machine_12.h5
12,GRU,0.30821472108189923,0.2705373103468302,6.072941742231587,63.00159067090224,54.08379494654119,-0.018553086781537775,0.08502881228923798,0.25215789675712585,0.09575844556093216,0.2712586522102356,0.00025,saved_models/model_GRU_machine_12.h5
12,TCN,0.3286818584569766,0.2836792662732637,6.758469999692779,67.03703662008988,56.71103644831595,-0.15831953685160394,0.03783448785543442,0.159744530916214,0.11346632987260818,0.28681322932243347,0.00025,saved_models/model_TCN_machine_12.h5
13,LSTM,0.27800248909569397,0.24205563110255568,1.5753614395065878,54.74115055001989,48.70220809379805,-0.0026112303148646543,0.08462485671043396,0.251596599817276,0.07976820319890976,0.24342398345470428,0.00025,saved_models/model_LSTM_machine_13.h5
13,GRU,0.2810475145308967,0.24422518988790942,1.5531567212559494,55.1643056065747,49.1387288347316,-0.024695181341087835,0.0833413153886795,0.24967963993549347,0.07993631809949875,0.24555091559886932,0.00025,saved_models/model_GRU_machine_13.h5
13,TCN,0.3086015591841593,0.2608913937039873,1.596330969301335,58.80646749455507,52.49201139497239,-0.23546779190544087,0.05017784982919693,0.18778662383556366,0.09916884452104568,0.2687424421310425,0.00025,saved_models/model_TCN_machine_13.h5
14,LSTM,0.2954654981871061,0.2588924119945637,2.6729489667857687,61.18599274470098,53.95461141310595,-0.000278615332315324,0.08138717710971832,0.24664641916751862,0.08803269267082214,0.25842398405075073,0.00025,saved_models/model_LSTM_machine_14.h5
14,GRU,0.29730647418727174,0.2610342046945481,2.7521320431583614,61.23866111161787,54.40097286481784,-0.012782449977948973,0.08233768492937088,0.2472880482673645,0.08911782503128052,0.2605406939983368,0.00025,saved_models/model_GRU_machine_14.h5
14,TCN,0.36276887752773845,0.2966352032186441,2.596145021767369,68.81668906904932,61.82041797905507,-0.5078824146773555,0.013165272772312164,0.09146630018949509,0.15014533698558807,0.31680259108543396,0.00025,saved_models/model_TCN_machine_14.h5
